No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
1600 < 1700,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
1600 < 1700,t2Cep,0,0,5,0,0,0,0,1,0,21,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,111,0,0,0,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,240,0,1,22,0,0,0,0,0,0,263
1700 < 1800,RRab,0,0,123,23,0,3,1,2,0,5,0,157
1700 < 1800,RRc,0,0,8,163,0,0,0,0,0,0,0,171
1700 < 1800,SRV,1,5,0,0,165,0,0,0,0,0,0,171
1700 < 1800,clasOvertoneCep,0,0,0,2,0,0,7,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,0,0,0,0,0,1,2,0,0,3
1700 < 1800,t2Cep,0,0,2,0,0,0,0,0,0,25,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,18,0,0,0,0,0,0,0,0,0,0,18
1800 < 1900,OSARG,0,32,0,0,7,0,0,0,0,0,0,39
1800 < 1900,RRab,0,0,184,31,0,0,0,0,0,6,0,221
1800 < 1900,RRc,0,0,34,149,0,0,0,0,0,1,0,184
1800 < 1900,SRV,1,5,0,0,31,0,0,0,0,0,0,37
1800 < 1900,clasOvertoneCep,0,0,0,1,0,0,2,0,0,0,0,3
1800 < 1900,t2Cep,0,0,2,0,0,0,0,0,0,31,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,13,2,0,0,0,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,16,0,0,0,0,0,0,0,0,0,16
1900 < 2000,RRab,0,0,341,72,0,0,0,1,0,5,1,420
1900 < 2000,RRc,0,0,27,446,0,0,0,2,0,7,0,482
1900 < 2000,SRV,0,1,0,0,8,0,0,0,0,0,0,9
