No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
3200 < 3300,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3200 < 3300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
3200 < 3300,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
3200 < 3300,detachedBinary,0,0,1,0,0,0,0,2,1,0,0,4
3300 < 3400,RRab,0,0,1,0,0,0,0,0,0,0,0,1
3300 < 3400,RRc,0,0,0,3,0,0,0,0,0,0,0,3
3300 < 3400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
3300 < 3400,detachedBinary,0,0,0,0,0,0,0,3,5,0,0,8
3300 < 3400,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
3400 < 3500,RRab,0,0,2,1,0,0,0,0,0,0,0,3
3400 < 3500,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3400 < 3500,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
3500 < 3600,RRab,0,0,0,2,0,0,0,0,0,0,0,2
3500 < 3600,RRc,0,0,0,5,0,0,0,0,0,1,0,6
3500 < 3600,contactBinary,0,0,0,0,0,0,0,0,0,1,0,1
3500 < 3600,detachedBinary,0,0,0,0,0,0,0,2,2,0,0,4
3500 < 3600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
3600 < 3700,RRab,0,0,1,1,0,0,0,0,0,0,0,2
3600 < 3700,RRc,0,0,0,2,0,0,0,0,0,0,0,2
3600 < 3700,contactBinary,0,0,0,0,0,0,0,1,1,0,0,2
3600 < 3700,detachedBinary,0,0,0,0,0,0,0,2,2,0,0,4
3600 < 3700,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
3700 < 3800,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3700 < 3800,RRc,0,0,0,8,0,0,0,0,0,1,0,9
3700 < 3800,contactBinary,0,0,0,0,0,0,0,2,1,0,0,3
3700 < 3800,detachedBinary,0,0,1,2,0,0,0,2,1,0,0,6
3800 < 3900,RRab,0,0,2,0,0,0,0,0,0,0,1,3
3800 < 3900,RRc,0,0,1,9,0,0,0,0,0,0,0,10
3800 < 3900,contactBinary,0,0,0,1,0,0,0,3,1,1,0,6
3800 < 3900,detachedBinary,0,0,0,1,0,0,0,3,6,0,0,10
3900 < 4000,RRab,0,0,0,2,0,0,0,0,0,0,0,2
3900 < 4000,RRc,0,0,2,3,0,0,0,0,0,0,0,5
3900 < 4000,contactBinary,0,0,1,0,0,0,0,3,2,0,0,6
3900 < 4000,detachedBinary,0,0,0,0,0,0,0,3,4,0,0,7
400 < 500,Mira,870,0,52,1,3,12,0,20,1,50,1,1010
400 < 500,OSARG,0,263,0,0,27,0,0,2,1,2,1,296
400 < 500,RRab,4,7,949,207,1,662,29,214,7,352,0,2432
400 < 500,RRc,0,1,151,988,0,295,112,538,38,203,0,2326
400 < 500,SRV,40,23,11,5,312,31,131,109,43,97,9,811
400 < 500,clasCep,0,0,2,0,0,2470,368,2,0,4,0,2846
