No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
2200 < 2300,SRV,0,2,0,1,0,8,0,0,0,0,0,0,1,12
2300 < 2400,Mira,107,2,1,0,0,37,0,0,0,0,0,0,0,147
2300 < 2400,OSARG,6,146,0,0,0,93,0,0,0,0,0,0,0,245
2300 < 2400,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2300 < 2400,RRc,0,0,1,4,0,0,0,0,0,0,0,0,0,5
2300 < 2400,SRV,16,33,0,0,0,210,0,0,0,0,0,0,0,259
2300 < 2400,clasCep,0,0,0,0,0,1,2,0,0,0,0,0,0,3
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,0,0,3,0,0,0,3
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,6,0,0,0,1,0,0,0,0,0,0,0,7
2400 < 2500,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
2400 < 2500,RRc,0,0,0,3,0,0,0,0,1,0,0,0,0,4
2400 < 2500,SRV,1,1,0,0,0,3,0,0,0,0,0,0,1,6
2400 < 2500,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,19,0,1,0,4,0,0,0,0,0,0,0,24
2500 < 2600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2500 < 2600,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2500 < 2600,SRV,0,2,0,0,0,14,0,0,0,0,0,0,0,16
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,37,0,0,1,4,0,0,1,0,0,0,0,43
2600 < 2700,RRab,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2600 < 2700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2600 < 2700,SRV,0,3,0,0,0,24,0,0,0,0,0,0,1,28
2600 < 2700,contactBinary,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2600 < 2700,detachedBinary,0,0,0,0,0,0,0,0,1,2,0,0,0,3
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,501,0,0,0,44,0,0,0,0,0,0,0,545
