No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
300 < 400,Mira,2713,22,27,0,59,1,0,4,17,2,86,2931
300 < 400,OSARG,0,1808,0,0,175,0,2,0,0,0,0,1985
300 < 400,RRab,1,1,453,90,0,19,0,7,1,60,3,635
300 < 400,RRc,0,0,18,506,0,1,7,1,0,13,0,546
300 < 400,SRV,210,216,215,108,2265,105,233,23,159,116,51,3701
300 < 400,clasCep,0,3,101,3,15,492,29,6,6,28,19,702
300 < 400,clasOvertoneCep,0,0,21,34,0,90,202,8,0,8,0,363
300 < 400,contactBinary,1,6,11,9,2,2,1,1539,188,6,0,1765
300 < 400,detachedBinary,2,8,8,17,8,1,1,524,1188,0,0,1757
300 < 400,t2Cep,17,3,77,10,17,132,21,14,31,152,60,534
300 < 400,t2RVTau,11,4,1,0,9,5,2,3,5,0,59,99
3000 < 3100,RRab,0,0,6,1,0,0,0,0,0,0,0,7
3000 < 3100,contactBinary,0,0,2,2,0,0,0,3,0,0,0,7
3000 < 3100,detachedBinary,0,0,0,1,0,0,0,0,0,0,0,1
3100 < 3200,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3100 < 3200,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3100 < 3200,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
3100 < 3200,detachedBinary,0,0,1,0,0,0,0,0,2,0,0,3
3200 < 3300,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3200 < 3300,RRc,0,0,1,1,0,0,0,0,0,0,0,2
3200 < 3300,detachedBinary,0,0,0,2,0,0,0,0,2,0,0,4
3300 < 3400,RRab,0,0,5,1,0,0,0,0,0,0,0,6
3300 < 3400,RRc,0,0,0,3,0,0,0,0,0,0,0,3
3300 < 3400,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
3300 < 3400,detachedBinary,0,0,0,0,0,0,0,1,1,0,1,3
3300 < 3400,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
3400 < 3500,RRab,0,0,2,2,0,0,0,0,0,0,0,4
3400 < 3500,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
3400 < 3500,detachedBinary,0,0,1,0,0,0,0,0,1,0,0,2
3500 < 3600,RRab,0,0,4,0,0,0,0,0,0,0,0,4
3500 < 3600,RRc,0,0,0,4,0,0,0,0,0,1,0,5
3500 < 3600,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
3500 < 3600,detachedBinary,0,0,0,0,0,0,0,1,2,0,0,3
3500 < 3600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
3600 < 3700,RRab,0,0,1,0,0,0,0,0,0,0,0,1
3600 < 3700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3600 < 3700,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
3600 < 3700,detachedBinary,0,0,0,0,0,0,0,4,1,0,0,5
3600 < 3700,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
3700 < 3800,RRab,0,0,3,0,0,0,0,0,0,1,0,4
3700 < 3800,RRc,0,0,0,11,0,0,0,0,0,0,0,11
3700 < 3800,contactBinary,0,0,1,0,0,0,0,3,0,0,0,4
3700 < 3800,detachedBinary,0,0,0,1,0,0,0,3,5,0,0,9
3800 < 3900,RRab,0,0,1,0,0,0,0,0,0,0,0,1
3800 < 3900,RRc,0,0,0,3,0,0,0,0,0,0,0,3
3800 < 3900,contactBinary,0,0,4,0,0,0,0,2,2,0,0,8
3800 < 3900,detachedBinary,0,0,2,0,0,0,0,0,2,0,0,4
3900 < 4000,RRab,0,0,2,1,0,0,0,0,0,0,0,3
3900 < 4000,RRc,0,0,3,2,0,0,0,0,0,0,0,5
