# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
#
# Results of Query: Database VVVDR4 06/02/20 23:15
# select viva.vivaID,viva.ra,viva.dec,viva.freqSTR,viva.freqPDM,
# viva.freqLSG,(v.ksMaxMag-v.ksMinMag) as ksAmpl,s.jmhPnt,viva.kFi2,
# viva.faPcorrelation2,CASE WHEN (s.ksAperMag3>0 and s.jAperMag3>0 and 
# s.ksAperMag3<25 and s.jAperMag3<25) THEN (s.ksAperMag3 - 
# 0.686*(s.jAperMag3-s.ksAperMag3)) ELSE -9.9999999e8 END as wesenheit,
# s.jAperMag3,s.ksAperMag3,flagNfreq,flagFbias6,flagFbias7, u.upload_RA,
#  u.upload_Dec, u.varType from vvvVivaCatalogue as viva,vvvVariability 
# as v,vvvSource as s,#userTable as u  where v.sourceID=viva.vivaID and 
# v.ksMinMag>0. and v.ksnGoodObs>40 and viva.faPcorrelation2 > 0 and 
# s.sourceID=v.sourceID and v.sourceID=u.sourceID
# Column Headers at start of file AND below
#
# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
        515494888666,    +270.4717524,     -27.1741929,      +9.7628403,     +24.1803476,     +20.4136993,     +0.865835,     +0.658264,      +1.0000000,      +0.8500000,      +9.6923695,    +11.981390,    +10.623727,     2,   215,    39,    +270.4717500,     -27.1742200,OSARG
        515494909971,    +270.5662535,     -27.1761825,      +8.2628634,     +11.7292639,     +29.5964902,     +0.790020,     +0.333986,      +1.0000000,      +0.9174230,     +10.0203028,    +11.646688,    +10.682047,     2,   647,   520,    +270.5662500,     -27.1761900,OSARG
        515495000110,    +270.4717350,     -26.9367363,      +4.5099751,     +27.0105666,     +28.2830092,     +0.983591,     +0.246052,      +1.0000000,      +0.9524920,     +10.5096035,    +12.037057,    +11.131094,     4,  2186,  1901,    +270.4717500,     -26.9367200,OSARG
        515495031878,    +270.7212369,     -27.0035626,     +29.9113957,     +20.2787312,      +6.5656645,     +1.178494, -9.999995E008,      +1.0000000,      +0.9524920,  -9.9999999E008, -9.999995E008,    +11.002161,     2,     7,     4,    +270.7212500,     -27.0035600,OSARG
        515499185631,    +274.7633967,     -26.1238918,     +20.0205493,     +16.2235832,      +0.0096702,     +0.211705,     +0.734857,      +0.8500000,      +0.7512460,     +10.3628569,    +12.253802,    +11.132245,     1,    19,    19,    +274.7633750,     -26.1238900,OSARG
        515504336678,    +271.1704006,     -27.3723441,     +29.9874667,      +1.9994359,      +3.0023006,     +0.423262,     +0.474334,      +0.9166670,      +0.8098080,     +10.6045208,    +12.176281,    +11.244039,     1,    32,     5,    +271.1703750,     -27.3723600,OSARG
        515504377612,    +271.1578492,     -27.2814368,     +14.8579023,     +23.9646236,     +16.9540604,     +1.204323,     +0.217528,      +0.9000000,      +0.8346050,     +10.6045170,    +12.038415,    +11.187942,     1,    15,     2,    +271.1578750,     -27.2814400,OSARG
        515504769795,    +271.7102359,     -26.6860607,     +20.9943438,     +19.7461258,     +25.0045094,     +0.516576,     +0.458512,      +0.9333330,      +0.7823790,     +10.3079987,    +11.996050,    +10.994833,     1,   136,    64,    +271.7102500,     -26.6860600,OSARG
        515504881799,    +271.5486135,     -26.3393586,      +5.9696686,      +6.3011803,      +6.3033685,     +0.705132,     +0.412036,      +1.0000000,      +0.8681980,      +9.4553289,    +11.258726,    +10.189096,     5,     3,     1,    +271.5486250,     -26.3393300,OSARG
        515513520673,    +272.5976471,     -28.2783760,     +27.9312664,      +1.2427747,      +7.0780974,     +0.621523, -9.999995E008,      +1.0000000,      +0.9174230,     +10.2844467,    +11.736099,    +10.875095,     1,     6,     2,    +272.5976250,     -28.2783900,OSARG
        515516727688,    +269.4024693,     -28.3695365,     +14.0432443,     +15.0467522,      +9.2633885,     +0.941418,     +0.421572,      +0.9285710,      +0.7905350,      +9.7190828,    +11.507044,    +10.446568,     1,  1196,   129,    +269.4025000,     -28.3695300,OSARG
        515516745111,    +269.3051328,     -28.2740489,     +22.8973660,     +13.0438217,     +11.9786084,     +1.111976,     +0.440454,      +0.8000000,      +0.7512460,      +9.5771255,    +11.572451,    +10.388984,     3,  1338,   394,    +269.3051250,     -28.2740600,OSARG
        515516815380,    +269.9545226,     -28.4608737,     +19.9923664,      +9.7600115,     +14.9239998,     +1.084120,     +0.401051,      +1.0000000,      +0.9524920,      +9.9685917,    +11.624213,    +10.642231,     2,   693,   644,    +269.9545000,     -28.4608900,OSARG
        515517120153,    +270.1835341,     -27.9124624,     +26.6008013,     +29.6073744,     +16.5890859,     +0.252217,     +0.623548,      +0.8571430,      +0.7905350,     +10.2322884,    +12.215160,    +11.039080,     1,     7,     2,    +270.1835000,     -27.9124700,OSARG
        515517187082,    +269.9611353,     -27.6588237,     +25.4607420,     +21.9735438,     +26.4630490,     +1.145946,     +0.419622,      +1.0000000,      +0.9174230,     +10.1228790,    +11.833257,    +10.818798,     2,    58,     3,    +269.9611250,     -27.6588300,OSARG
        515517315475,    +270.0407443,     -27.4301426,      +9.5515852,     +18.2340442,     +14.0537411,     +0.403493,     +0.546006,      +0.8461540,      +0.7996150,     +10.1780481,    +12.077792,    +10.951016,     2,    24,    20,    +270.0407500,     -27.4301700,OSARG
