No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1500 < 1600,contactBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
1500 < 1600,detachedBinary,0,0,1,0,0,0,0,0,3,0,0,0,4
1500 < 1600,dsct,0,0,0,0,0,0,0,0,0,36,0,0,36
1500 < 1600,t2Cep,0,0,0,0,0,0,0,0,0,0,42,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,21,0,0,0,0,0,0,0,1,0,22
15000 < 15100,RRc,0,0,0,14,0,0,0,0,0,0,0,0,14
15000 < 15100,clasOvertoneCep,0,0,0,2,0,0,1,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,30,0,0,0,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,31,0,0,3,0,0,0,0,0,0,0,34
1600 < 1700,RRab,0,0,178,34,0,0,0,2,2,0,0,0,216
1600 < 1700,RRc,0,0,4,205,0,0,0,6,0,0,0,0,215
1600 < 1700,SRV,0,1,0,0,31,0,0,0,0,0,0,0,32
1600 < 1700,clasOvertoneCep,0,0,0,2,0,0,4,0,0,0,0,0,6
1600 < 1700,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1600 < 1700,t2Cep,0,0,0,0,0,0,0,0,0,0,27,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,110,0,0,0,0,0,0,0,0,0,0,1,111
1700 < 1800,OSARG,0,224,0,0,20,0,0,0,0,2,0,1,247
1700 < 1800,RRab,0,0,127,19,0,0,0,0,0,0,2,0,148
1700 < 1800,RRc,0,0,6,159,0,0,0,0,0,0,2,0,167
1700 < 1800,SRV,7,16,0,0,172,0,0,0,0,0,0,0,195
1700 < 1800,clasOvertoneCep,0,0,0,3,0,0,6,0,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,0,2
1700 < 1800,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1700 < 1800,t2Cep,0,0,0,0,0,0,0,0,0,0,27,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,18,0,0,0,0,0,0,0,0,0,0,0,18
1800 < 1900,OSARG,1,51,0,0,10,0,0,0,0,0,0,0,62
1800 < 1900,RRab,0,0,159,34,0,0,0,0,0,0,8,0,201
1800 < 1900,RRc,0,0,25,185,0,0,0,0,1,0,1,0,212
1800 < 1900,SRV,3,2,0,0,39,0,0,0,0,1,0,0,45
1800 < 1900,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,0,3
1800 < 1900,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1800 < 1900,t2Cep,0,0,4,0,0,0,0,0,0,0,29,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,13,0,0,0,2,0,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,20,0,0,3,0,0,0,0,0,0,0,23
1900 < 2000,RRab,0,0,296,60,0,0,0,0,0,0,11,1,368
1900 < 2000,RRc,0,0,17,469,0,0,0,0,0,0,8,0,494
1900 < 2000,SRV,0,1,0,0,9,0,0,0,0,0,0,0,10
1900 < 2000,clasCep,0,0,2,1,0,6,0,0,0,0,0,0,9
1900 < 2000,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,0,2
1900 < 2000,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1900 < 2000,t2Cep,0,0,0,0,0,0,0,0,0,0,72,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,800,0,0,0,7,0,0,0,0,0,0,0,807
200 < 300,OSARG,1,749,2,0,95,0,7,1,6,1,5,0,867
200 < 300,RRab,2,1,544,85,0,23,3,22,4,0,34,1,719
200 < 300,RRc,0,0,38,648,0,3,23,23,3,0,16,0,754
200 < 300,SRV,23,76,2,0,872,0,1,2,1,1,4,4,986
200 < 300,clasCep,0,2,11,3,0,161,15,3,3,0,1,2,201
200 < 300,clasOvertoneCep,0,0,0,5,1,4,255,0,0,0,2,0,267
200 < 300,contactBinary,2,1,14,16,0,8,7,1523,189,1,29,0,1790
200 < 300,detachedBinary,4,8,5,15,7,0,4,506,980,2,9,1,1541
200 < 300,dsct,0,0,3,0,0,2,2,0,0,38,0,0,45
200 < 300,t2Cep,0,0,0,0,0,0,0,2,0,0,94,0,96
200 < 300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,30,30
2000 < 2100,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2000 < 2100,OSARG,0,5,0,0,1,0,0,0,0,1,0,0,7
2000 < 2100,RRab,0,0,49,17,0,0,0,0,0,0,0,0,66
2000 < 2100,RRc,0,0,5,85,0,0,0,0,0,0,0,0,90
2000 < 2100,SRV,0,1,0,1,5,0,0,0,0,0,0,0,7
2000 < 2100,contactBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
2000 < 2100,dsct,0,0,0,3,0,0,0,0,0,0,0,0,3
2000 < 2100,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,28,0,0,0,0,0,0,0,0,2,0,0,30
2100 < 2200,OSARG,0,6,0,0,1,0,0,0,0,0,0,0,7
2100 < 2200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
2100 < 2200,SRV,1,2,0,0,5,0,0,0,0,0,0,1,9
2100 < 2200,contactBinary,0,0,0,1,0,0,0,0,0,0,0,0,1
2100 < 2200,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,22,0,0,0,2,0,0,0,0,0,0,0,24
2200 < 2300,OSARG,0,13,0,1,3,0,0,0,0,0,0,0,17
2200 < 2300,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
2200 < 2300,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
2200 < 2300,SRV,0,5,0,0,8,0,0,0,0,0,0,0,13
2200 < 2300,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
2300 < 2400,Mira,121,9,0,0,17,0,0,0,0,0,0,0,147
2300 < 2400,OSARG,7,150,0,1,86,0,0,0,0,0,0,0,244
2300 < 2400,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
2300 < 2400,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
2300 < 2400,SRV,22,53,0,0,187,0,0,0,0,0,0,0,262
2300 < 2400,clasCep,0,0,0,0,2,1,0,0,0,0,0,0,3
